Thread Frame #,Time spent in reading the frame (seconds) from queue,Time spent performing inference on the frame (seconds)
35,0.0002577,1.3760714
41,0.0001793,0.518618
90,0.0004768,0.450035
112,0.0003243,0.441503
79,0.0003238,0.4272544
96,0.0002564,0.4269431
97,0.0002203,0.4255448
99,0.0003215,0.4241476
98,0.0002314,0.412446
80,0.0002873,0.4123337
87,0.0003288,0.4120355
83,0.0004732,0.4087298
94,0.0003316,0.4041933
109,0.0002209,0.40276
111,0.0002224,0.3994655
81,0.0003305,0.39828
95,0.0004239,0.3966415
113,0.0002806,0.3957361
93,0.0001784,0.3894688
110,0.000253,0.3859822
116,0.0003062,0.3815893
108,0.0004409,0.3813031
89,0.0002802,0.3800808
92,0.0002087,0.376382
88,0.0002977,0.3678017
91,0.0002749,0.3490972
69,0.0001801,0.3440513
70,0.0003142,0.3410179
65,0.0001956,0.3295927
78,0.0003205,0.3135351
66,0.0002541,0.3127171
36,0.0004975,0.3077746
100,0.0003275,0.3018527
102,0.0002819,0.2980433
104,0.0001751,0.2945151
76,0.0002878,0.2933422
105,0.0001831,0.2925887
101,0.0002378,0.2923042
63,0.0001884,0.2863764
75,0.0002105,0.2848262
103,0.0002171,0.2845368
71,0.0001923,0.2843018
77,0.0003483,0.2790467
74,0.000237,0.2774689
73,0.000267,0.2753593
67,0.0002669,0.2749039
62,0.0002369,0.2672117
72,0.0002398,0.2606736
61,0.0002165,0.2575052
64,0.0001881,0.2548624
107,0.0001657,0.2533132
68,0.0001977,0.2494263
106,0.0002225,0.2372047
48,0.0002827,0.2339052
42,0.0005155,0.2325721
59,0.000153,0.2291157
44,0.0002927,0.22677
49,0.0001914,0.2229855
60,0.000186,0.2205226
37,0.0002892,0.2195552
38,0.0002347,0.2153755
43,0.0001639,0.2119283
46,0.0001901,0.2116893
45,0.00017,0.2115447
40,0.0002213,0.2089778
39,0.0002062,0.2046489
26,0.0001185,0.1475214
132,0.0002541,0.0916905
126,0.000337,0.0879812
159,0.0003609,0.0876728
144,0.0002205,0.0864319
137,0.0002694,0.0858463
118,0.0002919,0.0844095
135,0.0003408,0.0842287
84,0.0004482,0.0826576
121,0.0003041,0.0822064
133,0.0002011,0.082045
117,0.0003294,0.0814539
198,0.0002873,0.0811179
82,0.000327,0.0801231
148,0.0002203,0.0778939
151,0.0002763,0.0769784
125,0.0003794,0.076942
145,0.000243,0.0769044
147,0.0002498,0.0767532
149,0.0001935,0.0765449
172,0.0004236,0.0764338
154,0.0004615,0.0761005
123,0.0002891,0.0756734
167,0.0002847,0.0756162
34,0.0013931,0.0754598
139,0.000208,0.0752446
119,0.0002355,0.0749402
164,0.0008274,0.0749335
155,0.000276,0.0742878
169,0.0002299,0.0742866
161,0.0003799,0.0740697
128,0.0002307,0.0739502
158,0.0003919,0.0735546
129,0.0002935,0.0723672
142,0.0001871,0.0718579
120,0.0001726,0.0718202
166,0.000338,0.0717749
131,0.0002567,0.0717371
138,0.0002442,0.0712303
152,0.000311,0.0710832
140,0.0001865,0.0706941
114,0.0004498,0.070643
150,0.0002504,0.0706358
134,0.0002233,0.0700753
170,0.0002322,0.0700275
124,0.0003269,0.0699708
143,0.0002508,0.0686958
157,0.0005007,0.0681617
165,0.0002774,0.0681056
156,0.0002462,0.0680484
179,0.0002071,0.0679876
130,0.0002248,0.0674978
153,0.0002661,0.067341
127,0.0003495,0.067233
146,0.0002234,0.0668504
192,0.000159,0.066581
162,0.0003365,0.0664243
168,0.0001818,0.065866
174,0.000208,0.0658091
1,9.84E-05,0.0644075
115,0.0002432,0.0636377
28,0.0002633,0.0634376
122,0.0001876,0.0632381
136,0.000173,0.0625657
199,0.000322,0.0621777
176,0.0002954,0.0617632
29,0.0004031,0.0616761
86,0.0003353,0.0606219
175,0.0002575,0.0605794
141,0.0002519,0.0599527
195,0.0001885,0.0595437
185,0.0001603,0.0592808
33,0.0002934,0.0591273
163,0.0001856,0.0590913
17,0.0003062,0.0589805
32,0.0002845,0.0583249
171,0.0002641,0.0581254
31,0.0002242,0.0572565
27,0.0002315,0.0564954
19,0.000286,0.0558503
180,0.0005591,0.055723
7,0.0002152,0.0557022
178,0.0001866,0.0553185
190,0.0001613,0.0552932
186,0.0001544,0.0548879
85,0.0002524,0.054232
22,0.0002876,0.0541035
51,0.0003166,0.0535941
4,0.0001987,0.0528509
30,0.0002772,0.0528001
182,0.0002047,0.0527952
177,0.000207,0.0527912
200,0.0002977,0.0526887
173,0.0003686,0.0526821
23,0.0002593,0.0525364
188,0.0002414,0.0520023
10,0.0001853,0.0517042
18,0.0002277,0.0514398
181,0.0002245,0.0513557
197,0.0001818,0.0513265
160,0.0006114,0.0510469
193,0.0002468,0.0509052
187,0.0002577,0.050898
25,0.0002477,0.0508708
16,4.91E-05,0.0506055
20,0.0002718,0.0503339
52,0.0002501,0.0501989
50,0.0001884,0.0501553
194,0.0002323,0.0496172
24,0.0002607,0.0495657
191,0.0001647,0.0486879
189,0.0001793,0.0484431
55,0.0001893,0.0483633
13,0.0002437,0.0482851
57,0.0001964,0.0471549
196,0.0002229,0.0466892
11,0.0001816,0.0458853
14,0.0001748,0.0457865
21,0.0001928,0.0457541
12,4.65E-05,0.0456791
53,0.000166,0.0455433
6,1.75E-05,0.045172
184,0.0002198,0.045031
47,0.0001821,0.0444906
183,0.0002515,0.0440667
8,0.0003117,0.0436566
15,0.0001984,0.0431266
54,0.0001546,0.0428354
58,0.0001681,0.0426207
9,0.0002202,0.0424134
2,0.0001946,0.041931
5,0.0002423,0.0417933
3,0.0002378,0.0405105
56,0.0002336,0.0398877
