Thread Frame #,Time spent in reading the frame (seconds) from queue,Time spent performing inference on the frame (seconds)
1,0.00010920000000425034,0.051175499999999374
2,3.939999999857946e-05,0.039364499999997804
3,3.399999999942338e-05,0.04990039999999851
4,4.369999999909169e-05,0.043761700000004566
5,3.829999999993561e-05,0.04198279999999954
6,4.2499999999279225e-05,0.040407899999998165
7,7.680000000220844e-05,0.04276030000000475
8,4.559999999997899e-05,0.05606790000000217
9,6.069999999880338e-05,0.0540181000000004
10,6.33999999948287e-05,0.052277800000005925
11,4.580000000231621e-05,0.04739219999999733
12,6.880000000109021e-05,0.04860640000000416
13,4.150000000180398e-05,0.044089700000000676
14,5.5000000003246896e-05,0.04326929999999862
15,3.829999999993561e-05,0.044102299999998706
16,5.639999999829115e-05,0.043592900000000157
17,4.600000000465343e-05,0.051734500000002015
18,4.519999999530455e-05,0.04626109999999528
19,5.469999999974107e-05,0.05025440000000003
20,5.5100000004415506e-05,0.05520519999999607
21,4.630000000105383e-05,0.04748860000000121
22,5.3499999999928605e-05,0.052583800000000736
23,4.8700000000678756e-05,0.0488677000000024
24,5.010000000282844e-05,0.048670199999996555
25,6.330000000076552e-05,0.04926030000000026
26,5.989999999655993e-05,0.04485809999999901
27,3.860000000344144e-05,0.047909799999999336
28,4.429999999899792e-05,0.052276700000000176
29,5.060000000156606e-05,0.05036469999999582
30,4.7799999997266696e-05,0.05192809999999781
31,4.0199999993717483e-05,0.04449460000000016
32,6.09000000011406e-05,0.046927000000003716
33,4.069999999956053e-05,0.04534010000000421
34,4.429999999899792e-05,0.04284659999999718
35,6.0200000000065756e-05,0.05326079999999678
36,5.660000000062837e-05,0.047548299999995436
37,4.00999999996543e-05,0.04311120000000557
38,4.190000000647842e-05,0.09876869999999371
39,6.379999999950314e-05,0.04950300000000141
40,8.429999999748361e-05,0.08218570000000369
41,7.000000000090267e-05,0.08278359999999907
42,6.150000000104683e-05,0.08008090000000578
43,6.760000000127775e-05,0.06638669999999536
44,4.909999999824777e-05,0.05405369999999721
45,4.3400000002691286e-05,0.045301000000002034
46,5.190000000254713e-05,0.04529099999999886
47,0.0001621999999983359,0.10941159999999428
48,0.00010900000000191312,0.08601900000000029
49,4.510000000124137e-05,0.04493190000000169
50,4.2800000002785055e-05,0.04787900000000178
51,0.00010739999999742622,0.1043708000000052
52,9.14000000022952e-05,0.0729776999999956
53,4.609999999871661e-05,0.04495230000000561
54,4.369999999909169e-05,0.046833599999999365
55,5.9700000001328135e-05,0.04547230000000013
56,6.079999999997199e-05,0.08609990000000067
57,5.230000000011614e-05,0.06245930000000044
58,0.00011210000000261289,0.08429339999999996
59,5.300000000119098e-05,0.05821149999999875
60,4.0899999994792324e-05,0.044307400000000996
61,4.8100000000772525e-05,0.09743379999999746
62,5.3799999996329007e-05,0.052782300000004057
63,6.129999999870961e-05,0.06549529999999493
64,7.000000000090267e-05,0.044649200000002054
65,7.979999999463416e-05,0.0789913999999996
66,7.180000000062137e-05,0.0876669000000021
67,5.059999999446063e-05,0.049940599999999336
68,4.489999999890415e-05,0.04593649999999627
69,6.049999999646616e-05,0.042086299999994026
70,9.850000000000136e-05,0.1068901000000011
71,6.419999999707215e-05,0.04356409999999755
72,4.479999999773554e-05,0.10672789999999566
73,5.039999999922884e-05,0.05299529999999919
74,0.0001205999999953633,0.11310299999999529
75,5.13000000026409e-05,0.1003848000000005
76,6.559999999922184e-05,0.05264569999999935
77,7.010000000207128e-05,0.04694640000000305
78,4.359999999792308e-05,0.04238329999999735
79,4.7500000000866294e-05,0.0411635999999973
80,4.839999999717293e-05,0.046964800000004914
