Thread Frame #,Time spent in reading the frame from local camera (seconds),Time spent performing inference on the frame (seconds)
1,0.4462855,0.7144522
199,0.0061854,0.1725488
14,0.0060431,0.2027578
109,0.0058291,0.1628884
99,0.0054124,0.1752285
191,0.0052714,0.1777158
12,0.0052457,0.1610027
91,0.0051835,0.1603713
110,0.0051649,0.1625858
93,0.0050837,0.1625042
66,0.0050768,0.1609903
95,0.0050656,0.3928811
80,0.0050369,0.1598801
105,0.0049927,0.1671275
13,0.0047736,0.1745493
108,0.0046704,0.1813856
60,0.0046015,0.1621697
117,0.0045672,0.1857894
147,0.0045655,0.1639117
70,0.004559,0.1798324
68,0.0045524,0.1815986
75,0.0045389,0.1680983
62,0.004528,0.1736116
77,0.0045247,0.185906
125,0.0045236,0.1751283
119,0.0045193,0.178821
67,0.0045086,0.1787685
166,0.0045047,0.1839931
120,0.0045023,0.163267
146,0.0044976,0.1715156
58,0.0044973,0.1906521
113,0.0044968,0.1890416
69,0.0044851,0.1675965
127,0.0044754,0.1794569
11,0.0044739,0.1753903
133,0.0044645,0.1820631
186,0.0044532,0.1627579
18,0.0044503,0.1691941
52,0.0044457,0.1622961
137,0.0044404,0.1905163
79,0.0044401,0.1769831
20,0.0044361,0.1732568
72,0.0044232,0.1690186
74,0.004422,0.1683376
63,0.0044135,0.1690371
92,0.0044113,0.1852255
35,0.0044073,0.1842187
138,0.0044056,0.2032895
24,0.0044052,0.1577284
107,0.0044036,0.1968207
188,0.0044031,0.171863
98,0.0043989,0.1624744
51,0.0043938,0.1692552
88,0.0043667,0.1693143
115,0.0043658,0.1726368
122,0.0043594,0.1846179
47,0.0043571,0.1671943
173,0.0043549,0.1698681
64,0.0043478,0.1844273
118,0.0043477,0.1774485
181,0.0043466,0.1730043
46,0.0043284,0.1710918
171,0.0043206,0.1632618
10,0.0043183,0.1579994
134,0.0042867,0.1582847
175,0.0042866,0.1635091
32,0.0042812,0.1786373
65,0.0042785,0.1707524
8,0.0042757,0.163482
48,0.0042712,0.162345
163,0.0042707,0.17374
25,0.0042643,0.1734566
182,0.0042618,0.1692743
86,0.0042603,0.1753088
96,0.00426,0.1598274
170,0.0042577,0.1666527
156,0.0042561,0.1733254
136,0.004253,0.1767236
144,0.0042491,0.1879708
39,0.004249,0.1815453
157,0.0042463,0.1591017
126,0.0042421,0.161645
38,0.0042419,0.1749196
140,0.0042379,0.1790038
30,0.0042368,0.1751241
7,0.0042314,0.1591794
190,0.0042268,0.1641975
142,0.0042233,0.1664117
104,0.0042232,0.1606549
189,0.0042218,0.1624014
150,0.0042217,0.1803872
83,0.0042194,0.177493
130,0.0042192,0.1659457
101,0.0042186,0.1945991
154,0.0042177,0.1743123
37,0.004215,0.1667115
29,0.0042094,0.1663809
36,0.004209,0.1643603
45,0.0042078,0.1655672
197,0.0042069,0.1758393
73,0.0042068,0.158536
179,0.0042067,0.1636458
141,0.0042058,0.1724485
195,0.0042056,0.1755538
50,0.0042052,0.1607902
40,0.004204,0.1631808
149,0.0042026,0.1874771
90,0.004199,0.1711145
31,0.0041988,0.1796939
26,0.0041966,0.1834863
148,0.0041965,0.1743784
27,0.0041951,0.1731568
135,0.0041949,0.1687938
21,0.0041949,0.1566967
193,0.0041935,0.1847339
89,0.0041932,0.1716939
82,0.0041922,0.1762407
196,0.0041906,0.1786455
33,0.0041901,0.1688242
143,0.0041869,0.1747892
59,0.0041855,0.1648235
78,0.0041851,0.1645459
87,0.0041844,0.1710027
43,0.0041838,0.1725078
34,0.0041826,0.1629182
152,0.004179,0.1765161
85,0.0041779,0.1873891
153,0.004177,0.1700156
57,0.0041768,0.1622394
198,0.0041764,0.1772599
183,0.0041747,0.1623407
151,0.004172,0.1827577
155,0.0041697,0.1789407
139,0.0041669,0.1652153
192,0.0041663,0.1747062
128,0.0041573,0.1595561
103,0.0041433,0.1782614
106,0.0041433,0.1590894
114,0.0041373,0.16207
158,0.004137,0.1591165
55,0.0041158,0.157709
81,0.004112,0.1713335
129,0.0041012,0.2226838
116,0.0040903,0.1632161
165,0.0040903,0.1687322
187,0.0040902,0.1658913
42,0.0040886,0.1641355
172,0.0040872,0.1647196
49,0.0040848,0.1584724
145,0.0040775,0.1603323
174,0.0040763,0.1639566
184,0.0040679,0.1645229
15,0.0040669,0.157588
159,0.0040521,0.1605992
41,0.0040247,0.1645634
185,0.0040224,0.1650782
97,0.0040189,0.1632732
161,0.0040174,0.1655737
177,0.0039996,0.1679615
131,0.0039994,0.1628668
178,0.0039947,0.1662697
123,0.0039876,0.1610984
112,0.0039869,0.1685087
168,0.0039521,0.1719935
61,0.0039459,0.1591473
9,0.00381,0.1632967
164,0.0034696,0.1623026
22,0.0034413,0.1917216
94,0.0034137,0.1767182
169,0.0033797,0.1712391
19,0.0032528,0.1716001
100,0.0032376,0.2009344
132,0.0032067,0.1672315
180,0.0032004,0.1672172
44,0.0031452,0.1606136
76,0.0031359,0.1616927
16,0.0029356,0.1741747
6,0.0025009,0.3796796
160,0.002414,0.1596428
102,0.0023397,0.1824993
200,0.0022393,0.0451257
54,0.0022199,0.1603848
84,0.0022016,0.1765064
5,0.0021963,0.1578243
194,0.0021947,0.1983225
4,0.002173,0.1647452
23,0.0021723,0.182673
28,0.0021369,0.1795362
2,0.0021297,0.1826146
3,0.0021239,0.1631206
71,0.0020941,0.1813116
56,0.0020756,0.161082
167,0.0020571,0.1604967
121,0.0019938,0.1601174
162,0.0019934,0.1646316
17,0.0019719,0.1612533
53,0.0018442,0.1604857
176,0.0017792,0.1685063
124,0.0016412,0.1671048
111,0.0013488,0.163164
